CasRN,DTXSID,SMILES,Toxicity
24347-58-8,DTXSID801031371,C[C@@H](O)[C@@H](C)O,0
5341-95-7,DTXSID301031540,C[C@@H](O)[C@H](C)O,0
108-32-7,DTXSID2026789,CC1COC(=O)O1,0
56554-53-1,DTXSID10971994,CC(CC(=O)OCC(COC(=O)CC(C)CC(C)(C)C)OC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,0
13241-33-3,DTXSID60927668,[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC(O)=C(OC)C=C2)O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,0
520-26-3,DTXSID9044328,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O,0
64519-82-0,DTXSID8020753,OCC(O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
7782-91-4,DTXSID20894105,[H+].[H+].O=[Mo--](=O)(=O)=O,0
3085-30-1,DTXSID5027518,CCCCO[Al](OCCCC)OCCCC,0
67-56-1,DTXSID2021731,CO,0
3586-55-8,DTXSID5041225,OCOCCOCO,0
10236-47-2,DTXSID6022478,[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,0
20702-77-6,DTXSID3025706,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C=C2O)C=C1,0
13473-90-0,DTXSID7040318,[Al+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
70321-86-7,DTXSID2028985,CC(C)(C1=CC=CC=C1)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(=C1)C(C)(C)C1=CC=CC=C1,0
1241-94-7,DTXSID1025300,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0
29761-21-5,DTXSID3025465,"C*.CCCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:16,18,24,26,t:14,22,lp:11:2,13:2,14:2,21:2,m:1:10.9.8.7.6.5.4.3|",0
991-84-4,DTXSID1052662,CCCCCCCCSC1=NC(SCCCCCCCC)=NC(NC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=N1,0
32687-78-8,DTXSID6027979,CC(C)(C)C1=CC(CCC(=O)NNC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,0
